Unnamed: 0,Method,ROUNDS,TIME,M_RES,M_NAME,M_KD,M_SIG_STR,M_SIG_STR_P,M_TOTAL_STR,M_TD,M_TD_P,M_SUB_ATT,M_REV,M_CTRL,M_HEAD,M_BODY,M_LEG,M_DIST,M_CLIN,M_GROUND,OP_RES,OP_NAME,OP_KD,OP_SIG_STR,OP_SIG_STR_P,OP_TOTAL_STR,OP_TD,OP_TD_P,OP_SUB_ATT,OP_REV,OP_CTRL,OP_HEAD,OP_BODY,OP_LEG,OP_DIST,OP_CLIN,OP_GROUND,Cluster #
0,Decision - Split,3,900,0,Danny Abbadi,0,56,38%,79,0,,0,0,110.0,49,7,0,41,12,3,1,Jorge Gurgel,0,58,36%,101,1,14%,1,0,123.0,49,6,3,44,12,2,1.0
1,Submission,1,176,0,Danny Abbadi,0,3,33%,6,0,,0,0,0.0,2,1,0,1,2,0,1,Kalib Starnes,0,21,72%,25,1,50%,1,0,101.0,10,11,0,2,5,14,1.0
21,KO/TKO,2,442,0,Shamil Abdurakhimov,0,3,37%,3,0,,0,0,0.0,3,0,0,3,0,0,1,Curtis Blaydes,0,25,58%,46,5,100%,0,0,367.0,23,1,1,2,0,23,1.0
22,KO/TKO,2,495,1,Shamil Abdurakhimov,1,36,41%,36,0,0%,0,0,0.0,24,10,2,26,10,0,0,Marcin Tybura,0,28,40%,28,0,,0,0,0.0,17,6,5,26,2,0,1.0
23,Decision - Unanimous,3,900,1,Shamil Abdurakhimov,0,32,45%,67,2,50%,0,0,206.0,19,9,4,12,6,14,0,Andrei Arlovski,0,18,31%,27,2,66%,0,0,18.0,8,6,4,9,6,3,1.0
24,KO/TKO,1,84,1,Shamil Abdurakhimov,1,6,60%,6,0,,0,0,1.0,5,1,0,6,0,0,0,Chase Sherman,0,5,38%,5,0,,0,0,0.0,4,0,1,5,0,0,1.0
25,KO/TKO,4,1122,0,Shamil Abdurakhimov,0,15,40%,77,4,36%,1,0,452.0,5,5,5,5,5,5,1,Derrick Lewis,0,39,43%,46,1,33%,0,0,102.0,32,5,2,8,4,27,1.0
26,Decision - Split,3,900,1,Shamil Abdurakhimov,0,47,36%,52,1,12%,0,0,44.0,21,6,20,39,7,1,0,Walt Harris,0,33,33%,36,0,,1,0,29.0,21,7,5,24,9,0,1.0
27,Decision - Unanimous,3,900,1,Shamil Abdurakhimov,0,62,59%,89,0,0%,0,0,4.0,49,6,7,29,31,2,0,Anthony Hamilton,0,40,51%,48,0,0%,0,0,15.0,19,16,5,16,24,0,1.0
28,KO/TKO,1,297,0,Shamil Abdurakhimov,0,9,36%,11,0,0%,0,0,31.0,5,0,4,9,0,0,1,Timothy Johnson,0,22,37%,33,1,50%,0,0,57.0,14,1,7,3,8,11,1.0
29,Decision - Unanimous,3,900,0,Daichi Abe,0,45,29%,45,0,,0,0,0.0,24,1,20,45,0,0,1,Li Jingliang,0,96,46%,96,0,,0,0,0.0,32,13,51,95,1,0,1.0
30,Decision - Unanimous,3,900,0,Daichi Abe,0,63,36%,65,0,0%,0,0,17.0,43,7,13,47,8,8,1,Luke Jumeau,0,63,48%,64,1,100%,0,0,13.0,35,11,17,58,2,3,1.0
31,Decision - Unanimous,3,900,1,Daichi Abe,1,63,34%,65,1,100%,0,0,5.0,35,4,24,54,3,6,0,Hyun Gyu Lim,0,43,32%,43,0,,0,0,0.0,26,4,13,43,0,0,1.0
32,KO/TKO,3,692,0,Papy Abedi,0,19,47%,27,3,60%,3,0,312.0,12,5,2,11,0,8,1,Dylan Andrews,0,20,44%,21,2,40%,0,0,69.0,12,4,4,13,3,4,1.0
33,Decision - Split,3,900,1,Papy Abedi,0,53,66%,69,4,66%,0,0,337.0,14,35,4,10,27,16,0,Besam Yousef,0,43,54%,142,2,66%,0,0,265.0,22,18,3,8,35,0,1.0
34,Submission,1,273,0,Papy Abedi,0,11,61%,19,1,33%,0,0,115.0,7,2,2,6,2,3,1,James Head,0,21,48%,28,0,,1,0,43.0,16,5,0,9,10,2,1.0
