,Link
Paulo Costa,http://www.ufcstats.com/fighter-details/2e5c2aa8e4ab9d82
Jack Hermansson,http://www.ufcstats.com/fighter-details/0a1942069c9ad6b6
Yoel Romero,http://www.ufcstats.com/fighter-details/f77c68bb4be8516d
Darren Till,http://www.ufcstats.com/fighter-details/9ce6d5a03af801b7
Derek Brunson,http://www.ufcstats.com/fighter-details/b1a3e0aca758b322
Kelvin Gastelum,http://www.ufcstats.com/fighter-details/8c0580d4fff106c1
Chris Weidman,http://www.ufcstats.com/fighter-details/3a8176e15b9887c1
Uriah Hall,http://www.ufcstats.com/fighter-details/65578a75fa7900e3
Edmen Shahbazyan,http://www.ufcstats.com/fighter-details/4144798612ef96e5
Brad Tavares,http://www.ufcstats.com/fighter-details/0c6d9ea8306c029e
Omari Akhmedov,http://www.ufcstats.com/fighter-details/16690d100f995f8f
Marvin Vettori,http://www.ufcstats.com/fighter-details/7acbb0972e75281a
Ian Heinisch,http://www.ufcstats.com/fighter-details/2e585c701f72fe55
Jan Blachowicz,http://www.ufcstats.com/fighter-details/99df7d0a2a08a8a8
Thiago Santos,http://www.ufcstats.com/fighter-details/dea070ed4a2a8281
Dominick Reyes,http://www.ufcstats.com/fighter-details/2e19380f34871c6a
Glover Teixeira,http://www.ufcstats.com/fighter-details/7ff97850e8c32bda
Aleksandar Rakic,http://www.ufcstats.com/fighter-details/333b9e5c723ac873
Jiri Prochazka,http://www.ufcstats.com/fighter-details/009341ed974bad72
Volkan Oezdemir,http://www.ufcstats.com/fighter-details/0845c81e37d3bcb3
Anthony Smith,http://www.ufcstats.com/fighter-details/d4c9dcd330403612
Nikita Krylov,http://www.ufcstats.com/fighter-details/1091d4d957141094
Johnny Walker,http://www.ufcstats.com/fighter-details/c21f26bbde777573
Misha Cirkunov,http://www.ufcstats.com/fighter-details/67f272324a030d00
Magomed Ankalaev,http://www.ufcstats.com/fighter-details/d802174b0c0c1f4e
Ryan Spann,http://www.ufcstats.com/fighter-details/a67f5afa8d6a1b80
Jimmy Crute,http://www.ufcstats.com/fighter-details/70e1f8a821b72c8b
Mauricio Rua,http://www.ufcstats.com/fighter-details/140745cbbcb023ac
Paul Craig,http://www.ufcstats.com/fighter-details/eabf206b162b3b83
Stipe Miocic,http://www.ufcstats.com/fighter-details/d28dee5c705991df
Francis Ngannou,http://www.ufcstats.com/fighter-details/8d03ce87ca14e778
Curtis Blaydes,http://www.ufcstats.com/fighter-details/fa6796c55d6c5440
Jairzinho Rozenstruik,http://www.ufcstats.com/fighter-details/2cd428e9606856fd
Derrick Lewis,http://www.ufcstats.com/fighter-details/d3df1add9d9a7efb
Alistair Overeem,http://www.ufcstats.com/fighter-details/b4ad3a06ee4d660c
Junior Dos Santos,http://www.ufcstats.com/fighter-details/63def5a5662a6917
Alexander Volkov,http://www.ufcstats.com/fighter-details/279566840aa55bf2
Augusto Sakai,http://www.ufcstats.com/fighter-details/441eacbe20e0e80b
Shamil Abdurakhimov,http://www.ufcstats.com/fighter-details/2f5cbecbbe18bac4
Walt Harris,http://www.ufcstats.com/fighter-details/03f982ca3735070c
Aleksei Oleinik,http://www.ufcstats.com/fighter-details/98c23cb6da5b3352
Sergei Pavlovich,http://www.ufcstats.com/fighter-details/f14cf73e51b29254
Ciryl Gane,http://www.ufcstats.com/fighter-details/787bb1f087ccff8a
Blagoy Ivanov,http://www.ufcstats.com/fighter-details/1788eee370f077b7
Marcin Tybura,http://www.ufcstats.com/fighter-details/c9cf753cfdf77fc2
Weili Zhang,http://www.ufcstats.com/fighter-details/1ebe20ebbfa15e29
Rose Namajunas,http://www.ufcstats.com/fighter-details/47b63240018d5d86
Joanna Jedrzejczyk,http://www.ufcstats.com/fighter-details/3d6749c4267da18f
Jessica Andrade,http://www.ufcstats.com/fighter-details/6a1901c62ab3870f
Carla Esparza,http://www.ufcstats.com/fighter-details/d910665038efc639
Claudia Gadelha,http://www.ufcstats.com/fighter-details/ec34349e7dffcde7
Nina Ansaroff,http://www.ufcstats.com/fighter-details/d343df8ba11f4c4e
Michelle Waterson,http://www.ufcstats.com/fighter-details/eb04b9d31e938edb
Marina Rodriguez,http://www.ufcstats.com/fighter-details/cd2c4d30c6e13b47
Yan Xiaonan,http://www.ufcstats.com/fighter-details/c41d426cc7326d1b
Amanda Ribas,http://www.ufcstats.com/fighter-details/beecb672a279223e
Tecia Torres,http://www.ufcstats.com/fighter-details/31ef8b67e13495b3
Mackenzie Dern,http://www.ufcstats.com/fighter-details/7447e9f28508106a
Angela Hill,http://www.ufcstats.com/fighter-details/f0feeb2192937424
Virna Jandiroba,http://www.ufcstats.com/fighter-details/7dda2cf308f24a02
Felice Herrig,http://www.ufcstats.com/fighter-details/b6850671a008bf9a
Valentina Shevchenko,http://www.ufcstats.com/fighter-details/132deb59abae64b1
Katlyn Chookagian,http://www.ufcstats.com/fighter-details/e872e9a9a902c045
Jennifer Maia,http://www.ufcstats.com/fighter-details/8e1f36476ef02a6a
Cynthia Calvillo,http://www.ufcstats.com/fighter-details/98215d037be5bcb7
Lauren Murphy,http://www.ufcstats.com/fighter-details/729d4bd5a6cd0a97
Jessica Eye,http://www.ufcstats.com/fighter-details/f72465a784c1b084
Joanne Calderwood,http://www.ufcstats.com/fighter-details/12f91bfa8f1f723b
Roxanne Modafferi,http://www.ufcstats.com/fighter-details/4498b382c65a7faa
Viviane Araujo,http://www.ufcstats.com/fighter-details/36541f1e6c5d4955
Andrea Lee,http://www.ufcstats.com/fighter-details/05fa626cb33d15b8
Maycee Barber,http://www.ufcstats.com/fighter-details/6a740daf1b279661
Gillian Robertson,http://www.ufcstats.com/fighter-details/38c7f72747f4f712
Alexis Davis,http://www.ufcstats.com/fighter-details/4c2d90e335e6df19
Montana De La Rosa,http://www.ufcstats.com/fighter-details/80d8aed0ca9b00f3
Antonina Shevchenko,http://www.ufcstats.com/fighter-details/d7338bcb141abd2c
Amanda Nunes,http://www.ufcstats.com/fighter-details/80fa8218c99f9c58
Germaine De Randamie,http://www.ufcstats.com/fighter-details/1d239d571e342453
Holly Holm,http://www.ufcstats.com/fighter-details/634e2fb70bde3fd5
Aspen Ladd,http://www.ufcstats.com/fighter-details/d4691518d012b9e7
Raquel Pennington,http://www.ufcstats.com/fighter-details/fc169c387b4b465d
Irene Aldana,http://www.ufcstats.com/fighter-details/578ef12674df1e6a
Julianna Pena,http://www.ufcstats.com/fighter-details/3253b16d38ae087d
Ketlen Vieira,http://www.ufcstats.com/fighter-details/b9706f80d005036c
Yana Kunitskaya,http://www.ufcstats.com/fighter-details/3143bf892608139a
Sara McMann,http://www.ufcstats.com/fighter-details/7be74a12d7352df2
Marion Reneau,http://www.ufcstats.com/fighter-details/c7d297714d9ab1a4
Lina Lansberg,http://www.ufcstats.com/fighter-details/2eeaefbfc7f9fcff
Macy Chiasson,http://www.ufcstats.com/fighter-details/9cdd2da1a9104a0b
Sijara Eubanks,http://www.ufcstats.com/fighter-details/4234f0097c83fa62
Pannie Kianzad,http://www.ufcstats.com/fighter-details/91dac5e69e28d5b5
Julia Avila,http://www.ufcstats.com/fighter-details/86d9dbe1bfcbade7
